id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1190608061406179328,busssholic,"DX si pawang zona akhirna juara , sigana bales dendam seagames",2022-06-12 14:16:21,2022-06-12 14:16:21,,31,84
1449753197921255430,pubgmesportsid,@69Syihab_ bener2 pembalasan dendam pas SEAGAMES ya..,2022-06-12 13:22:29,2022-06-12 14:16:21,1331592918,4396,51
45115846,iinvani,"Buat rrq gapapa struggle dikit di grup stage biar ga jumawa kayak waktu seagames sama m3 kemaren, biar belajar lagi sebelum playoff",2022-06-12 11:07:28,2022-06-12 14:16:21,45115846,546,490
1632884485,nyoenyoek,@txtmusicisland Asian games udah 2 kali emas. Seagames 3 kali emas.,2022-06-12 11:06:42,2022-06-12 14:16:21,1186671435500011522,88,134
197407388,nrlstq,"Apri/Fadia debut pasangan di Seagames 2022 langsung juara, debut di world tour langsung runner up
Kereen!! https://t.co/D29FJv4OU6",2022-06-12 10:21:03,2022-06-12 14:16:21,,349,282
1533611125228838914,hilmihilmi31,@_BangFu @PSSI Gak kebayang kalau BELIAU jadi ketum perbasi juga. Kemaren waktu dapet emas seagames berkat beliau jg kayknya,2022-06-12 10:09:29,2022-06-12 14:16:21,202528790,1,15
2940652399,ArniPudyastuti,@BadmintonTalk SiAp kalian keren pokoknya 🤗😊 emas seagames dan RU Indonesia Master ❤️❤️ comeback strongerrr 🔥💪😊,2022-06-12 09:27:46,2022-06-12 14:16:21,2941773157,23,81
268111243,putriabyuda,"PriFad kalian keren bangetttt 2 turnamen debut keduanya langsung final, 1 emas seagames + 1 silver buat ss... keren… https://t.co/OV0UTltrpk",2022-06-12 09:25:55,2022-06-12 14:16:21,,554,467
376634442,PemujaKritis,"Pasangan baru
Apriani Rahayu/Siti Fadia Ramadhanti
Indonesia!
.
SeaGames untuk Teamx Silver Medal
Seagames WD, Gold… https://t.co/5lZsxQCMrm",2022-06-12 09:21:13,2022-06-12 14:16:21,,64,169
1221566652967354368,Fluffybearrrrrr,"@BadmintonTalk Seagames winner
Indonesia master RU
Indonesia open ? Winner lagi kali ya? Amiinn😭🤲",2022-06-12 09:20:24,2022-06-12 14:16:21,2941773157,7148,6287
376634442,PemujaKritis,"@BadmintonTalk Someday, become a Monster!!
Apriani Rahayu/ Siti Fadia Ramadhanti
,
Jam terbang aja.
Gold medal Seag… https://t.co/TTA19HJbGX",2022-06-12 09:17:46,2022-06-12 14:16:21,2941773157,64,169
376634442,PemujaKritis,"@INABadminton Someday, become a Monster!!
Apriani Rahayu/ Siti Fadia Ramadhanti
,
Jam terbang aja.
Gold medal Seaga… https://t.co/iTKDnEu1CP",2022-06-12 09:17:32,2022-06-12 14:16:21,1200006384,64,169
